Original,Translate_EN,Translate_IT
Ché•ll’aria fa serena:,for they calm the atmosphere. ,perché calmano l'atmosfera.
"Qando la bocie lieva,",When she begins to speak ,Quando inizia a parlare
Ogne nuvol si lieva,"every cloud leaves the sky, ","ogni nuvola lascia il cielo,"
E l’aria riman chiara.,and the air remains crystal clear. ,e l'aria rimane cristallina.
Per che ’l me’ cor sì chiar’à,For this reason my heart is so faithful ,Per questo il mio cuore è così fedele
Di non far giamai canbio,that it will never seek to exchange her ,che non cercherà mai di scambiarla
Di lei a nessun canbio;,for another at any rate: ,per un altro in ogni caso:
Ch’ell’è di sì gran pregio,for she is of such worth ,perché è di tale valore
Ch’i’ non troveria pregio,that I could never find any ,che non ho mai trovato nessuno
"Nessun, che mai la vaglia.",treasure that would be equal to her. ,tesoro che sarebbe uguale a lei.
"Amor, se Dio mi vaglia,","Love, so help me God, ","Amore, quindi aiutami Dio,"
"Il terrebe a•ffollore,","would consider it madness, ","la considererei una follia,"
E ben seria foll’o re’,and I would indeed be foolish or wicked ,e sarei davvero stolto o malvagio
Quand’io il pensasse punto.,if I were to consider this at all. ,se dovessi considerare questo a tutti.
M’Amor l’à sì a punto,But Love has so precisely ,Ma l'Amore ha così precisamente
"Nella mia mente pinta,",painted her in my mind ,l'ha dipinta nella mia mente
Ch’i’ la mi vegio pinta,"that, no matter if I sleep or am awake, ","che, non importa se dormo o sono sveglio,"
"Nel cor, s’i’ dormo o veglio.",I see her painted in my heart.,La vedo dipinta nel mio cuore.
Unque asessino a Veglio,Never was an assassin ,Non è mai stato un assassino
"Non fu giamai sì presto,","so willingly disposed to the Old Man,","così ben disposto verso il Vecchio,"
"Né a Dio giamai il Presto,","nor Prester John to God, ","né il Prete Giovanni a Dio,"
Com’io a servir mante,as I am to serve for love ,come devo servire per amore
"Per le vertù, ch’à mante.",because of the many virtues she possesses.,per le tante virtù che possiede.
E s’io in lei pietanza,And if find pity in her ,E se trova pietà in lei
"Truov’, o d’una pietanza",or if I am granted ,o se mi è concesso
"Del su’ amor son contento,","a little portion of her love, ","una piccola parte del suo amore,"
"I’ sarò più contento,","I will be happier, ","sarò più felice,"
"Per la sua gran valenza,","because of her great worth, ","per il suo grande valore,"
Che s’io avese Valenza.,than if I were to possess Valencia.,che se possedessi Valencia.
Se Gielosia à ’n sé gina,If Jealousy has in herself the ability ,Se la gelosia ha in se stessa l'abilità
"Di tormene segina,","to take her away from me, ","per portarmela via,"
Lo Dio d’Amor mi mente:,then the God of Love is lying to me. ,allora il Dio dell'Amore mi sta mentendo.
Chéd i’ ò ben a mente,For I remember well ,Perché ricordo bene
"Ciò, ched e’ m’ebe in grado,","what pleasure he offered me, ","che piacere mi ha offerto,"
Sed i’ ’l servisse a grado.,provided that I would serve him faithfully. ,purché lo servissi fedelmente.
Ben ci à egli un camino,To be sure there is a shorter ,Per essere sicuri c'è un più breve
"Più corto, né ’l chamino,","way, but I do not take it, ","modo, ma non lo prendo,"
Perciò ch’i’ nonn-ò entrata,"for which I have no profit, ","per cui non ho profitto,"
Ched i’ per quell’entrata,since I could enter only one ,dal momento che ho potuto inserire solo uno
Potesse entrar un passo.,step through that door. ,passare attraverso quella porta.
"Richeza guarda il passo,","Guarding the passage is Riches, ","A guardia del passaggio c'è la ricchezza,"
Che non fa buona chara,who does not look kindly ,chi non ha un aspetto gentile
"A que’, che no•ll’à chara.",on those who do not hold her dear. ,su coloro che non la tengono cara.
E sì fu’ i’ sì sagio,And yet I was so wise ,Eppure ero così saggio
Ched i’ ne feci sagio,that I made an attempt ,che ho fatto un tentativo
S’i’ potesse oltre gire.,to see if I could go beyond. ,per vedere se potevo andare oltre.
«Per neente t’agire!»,"“You are wasting your time,”","State sprecando il vostro tempo,"
"Mi disse, e cho•mal viso:",she said to me with a harsh look. ,mi disse con uno sguardo aspro.
"«Tu•ssè da me diviso,","“You aren’t known to me, ","“Non mi conosci,"
Perciò i’ ’l passo ti vieto;,and for this reason I forbid your passage. ,e per questo vi proibisco il passaggio.
"Non perché•ttu sie vieto,","It’s not because you’re old, ","Non è perché sei vecchio,"
Ma•ttu no•m’acontasti,"but because you’ve never made my acquaintance, ","ma poiché non mi hai mai conosciuto,"
"Unque, ma mi contasti;","and, in fact, you resist me, ","e infatti mi resisti,"
"E io ciaschu•schifo,",and I am hostile to anyone ,e sono ostile a chiunque
Chi di me si fa schifo.,who avoids me. ,chi mi evita.
"Va’ tua via, e sì prochaccia,","Go on your way, and do the best you can, ","Vai per la tua strada, e fai il meglio che puoi,"
"Ch’i’ so ben, chi pro’ chaccia,",for this I know well: the able hunter ,per questo lo so bene: l'abile cacciatore
Convien che bestia prenda.,will certainly catch his prey. ,catturerà sicuramente la sua preda.
Se fai che Veno inprenda,If you do it so that Venus declares,Se lo fai in modo che Venere dichiari
"La guerr’a Gielosia,","war on Jealousy, ","guerra alla gelosia,"
"Come che ’n gielo sia,","the latter, even though she’s cold, ","la seconda, anche se ha freddo,"
"Convien ch’ella si renda,","will have to surrender, ","dovrà arrendersi,"
E ched ella ti renda,and your lady will reward you,e la tua signora ti ricompenserà
"Del servir guiderdone,",for your service ,per il tuo servizio
Sanza che guiderdone.,without any cost to you. ,senza alcun costo per te.
Ma tutor ti ricorde:,But keep this in mind: ,Ma tieni presente questo:
"Se ma’ meco t’acorde,",if one day you wish to deal with me ,se un giorno vorrai trattare con me
Oro e argiento aporta.,be sure to bring gold and silver; ,assicurati di portare oro e argento;
I’ t’aprirò la porta,I will open the door for you ,Ti aprirò la porta
Sanza che•ttu facci’oste.,without your waging war. ,senza la tua guerra.
E sì avrai ad oste,And so you will be welcomed ,E così sarai il benvenuto
"Folle-Largheza mala,",by the evil Folle Larghezza,dal malvagio Folle Larghezza
"Che scioglierà la mala,",who will loosen the purse strings ,che scioglierà i cordoni della borsa
E farà gran dispensa,and will lay in great supplies ,e farà grandi provviste
"In sale, ed in dispensa,",of salt and pantry items ,di sale e articoli da dispensa
"E ’n guardarobe, e ’n ciella.",and clothes and wines. ,e vestiti e vini.
Povertà è su’ anciella:,Poverty is her servant: ,La povertà è la sua serva:
"Quella convien t’apanni,",She’ll rob you ,Ti deruberà
"E che•tti tragha ’ panni,","and take your clothes, ","e prendi i tuoi vestiti,"
"E le tue buone calze,",including your nice trousers ,compresi i tuoi bei pantaloni
"Che giamai no•lle calze,","that you’ll never wear again, ","che non indosserai mai più,"
"E la camiscia, e brache,","and your shirt and undergarments, ","e la tua camicia e la tua biancheria,"
Se•ttu co•lle’ t’inbrache.,if you get involved with her. ,se sei coinvolto con lei.
Figlia fu a Chuor-Fallito:,She was the daughter of Cuor Fallito:,Era la figlia di Cuor Fallito:
"Perdio, guarda ’n fall’ito","for God’s sake, be sure that ","per l'amor di Dio, statene certi"
"Non sia ciò, ch’i’ t’ò detto,",what I’ve told you doesn’t go unheeded. ,quello che ti ho detto non resta inascoltato.
"E sie con meco adetto,","Be loyal to me, ","Sii fedele a me,"
E mostra ben voglienza,and show your good will ,e mostra la tua buona volontà
"D’aver mia benvoglienza,",to have my favor; ,avere il mio favore;
Ché Povertat’è insoma,"for Poverty is, in fact, ","perché la povertà è, infatti,"
D’ognie dolor la somma.,the epitome of every sorrow.,l'epitome di ogni dolore.
Ancor non t’ò nomato,I have not yet told you ,Non te l'ho ancora detto
Un su’ figluol nomato:,about one of her notorious sons: ,su uno dei suoi famosi figli:
Inbolar huon l’apella;,they call him Imbolare;,lo chiamano Imbolare;
"Chi da•llu’ non s’apella,","anyone who makes no defense against him, ","chi non si difende contro di lui,"
Egli ’l mena a le forche,"that one he leads to the gallows, ","quello conduce al patibolo,"
Là dove nonn-à for che,there where his only choice ,là dove la sua unica scelta
"E’ monti per la schala,",is to climb the stairs; ,è salire le scale;
"Dov’ogne ben gli scala,","there all good things come to an end, ","lì tutte le cose belle finiscono,"
E danza a•ssuon di vento,and he dances to the sound of the wind ,e balla al suono del vento
Sanz’ave•mai avento.,without ever having rest. ,senza mai riposare.
Or sì•tt’ò letto il salmo:,"Now that I’ve read you the psalm, ","Ora che ti ho letto il salmo,"
"Ben credo a mente sa’ ’l mo’,","I believe you know it now by heart, ","Credo che tu lo sappia ormai a memoria,"
Sì ’l t’ò mostrato ad agio.,so clearly I’ve explained it to you. ,così chiaramente te l'ho spiegato.
"Se mai vien’ per mi’ agio,","If you ever wish to be a comfort to me, ","Se mai vorrai essere un conforto per me,"
Pensa d’esser maestro,think of becoming a teacher ,pensare di diventare un insegnante
"Di ciò, ch’i’ t’amaestro:",of that subject I’m teaching you here: ,di quell'argomento che ti sto insegnando qui:
Che Povertà tua serva,"consider that Poverty is not your servant, ","considera che la Povertà non è tua serva,"
"Non sia, né mai ti serva,","nor will she ever serve you, ","né ti servirà mai,"
Ché ’l su’ servigio è malo.,"because her service is bad, ","perché il suo servizio è cattivo,"
"E’ ben può dicier “Mal ò”,",and the one whose clothes and shoes she removes ,e quello di cui si toglie i vestiti e le scarpe
"Cu’ ella spoglia o schalza,",can well say: “I have misfortune”; ,"può ben dire: ""Ho sfortuna"";"
"Ché d’ogne ben lo schalza,",for she takes from him every good thing ,poiché lei prende da lui ogni cosa buona
E mettelo in tal punto,and reduces him to such a state ,e lo riduce in tale stato
Ch’a vederlo par punto.,that it’s painful to see him. ,che è doloroso vederlo.
E gli amici e ’ parenti,And his friends and relatives ,E i suoi amici e parenti
No•gli son aparenti:,do not come around him: ,non avvicinarti a lui:
"Ciascun le ren’ gli torna,",they all turn their backs on him ,tutti gli voltano le spalle
E ciaschun se ne torna.,and go away . . . .”,e vai via. . . .”
"Per ch’Amor m’agia matto,",. . .for the fact that Love has enslaved me ,. . .per il fatto che l'Amore mi ha reso schiavo
O che mi tengha a matto,"or that Reason, whom I love little, ","o quella Ragione, che poco amo,"
"Ragion, chu’ i’ poco amo,",considers me to be foolish ,mi considera uno sciocco
"Già, se Dio piacie, ad amo,","I will never, God willing, nibble ","Non sgranocchierò mai, a Dio piacendo"
"Ch’ell’agia, no•m’acrocho.",at whatever hook he may present. ,a qualunque gancio possa presentare.
"Amor m’à cinto il crocho,",Love has armed me with a skewer,L'amore mi ha armato di uno spiedo
"Chon che vuol ched i’ tenda,",which he requires me to wield ,che mi chiede di maneggiare
S’i’ vo’ gir cho•llu’ in tenda.,if I wish to go in his company. ,se voglio andare in sua compagnia.
"E’ dicie, s’i’ balestro",And he says that if I use any crossbow ,E dice che se uso una balestra
"Se non col su’ balestro,","other than his, ","altro che suo,"
O s’i’ credo a Ragione,or if I give heed to any ,o se do retta a qualcuno
"Di nulla sua ragione,",of Reason’s speeches ,dei discorsi di Reason
"Ch’ella mi dicha, o pungha,","with which she provides explanations or exhortations, ","con cui fornisce spiegazioni o esortazioni,"
O sed i’ metto in pungha,or if I put riches ,o se metto ricchezze
"Richeza per guardare,","in my purse to keep them safe, ","nella mia borsa per tenerli al sicuro,"
"O s’i’ miro in guardare,",or if I plan to safeguard ,o se ho intenzione di salvaguardare
"A•llui se non, ciò, ch’ò",what I have gained - and not from him - ,quello che ho guadagnato - e non da lui -
"Di lui, non faccia cho;",then I should not count on him. ,allora non dovrei contare su di lui.
"Ma mi gietta di taglia,",But he cuts me off ,Ma lui mi interrompe
E dicie che ’n sua taglia,and says that in his company ,e lo dice in sua compagnia
"I’ non prenda ma’ soldo,","I’ll never play a part, ","Non reciterò mai una parte,"
"Per livra, né per soldo,",not for any lira or any soldo,non per alcuna lira o alcun soldo
Ched i’ giama’ gli doni.,that I may ever give him. ,che io possa mai dargli.
Amor vuol questi doni:,Love desires these gifts: ,L'amore desidera questi doni:
"Chorpo, e avere, e anima;",body and wealth and soul; ,corpo e ricchezza e anima;
"E chon colui s’inanima,",and he forms a single soul with the one ,e forma un'anima sola con l'uno
"Chi gliel dà ciertamente,",who gives him these things confidently ,che gli dà queste cose con fiducia
"E chi altra a ciert’à, mente,","(and whoever says otherwise lies), ","(e chi dice il contrario mente),"
E sol lui per tesoro,"and Love desires that he alone, as a precious object, ","e Amore vuole che lui solo, come oggetto prezioso,"
Vuol ch’on metta ’n tesoro.,be put by this one in his treasury. ,essere messo da costui nel suo tesoro.
"E, chi di lui è preso,","And whoever is captured by Love, ","E chi è catturato dall'Amore,"
Si vuol ch’e’ sia apreso,Love wants him to be taught ,L'amore vuole che gli venga insegnato
"D’ogne bell’ordinanza,",every beautiful custom ,ogni bella usanza
Che ’l su’ bellor dinanza.,that enhances his beauty. ,che esalta la sua bellezza.
"Chi ’l cheta com’e’ dee,","If one pays him appropriately, ","Se uno lo paga adeguatamente,"
"S’achita ciò, ch’e’ dee.",so is he properly paid in return. ,così è adeguatamente pagato in cambio.
"D’orghoglio vuol sie voto,","He wants one to be without pride, ","Vuole che uno sia senza orgoglio,"
Ched egli à fatto voto,because he has pledged ,perché ha promesso
"D[i] non amarti guar’ dì,","not to love you very long, ","per non amarti molto a lungo,"
Se d’orghoglio no’l guardi:,if you don’t keep away from pride: ,se non ti allontani dall'orgoglio:
Ché forte mente pecha,for he sins greatly ,perché pecca molto
"Que’, che d’orghoglio à pecha.",who commits the sin of pride.,chi commette il peccato di superbia.
"Cortese, e franco, e pro’",You must be courteous ,Devi essere cortese
"Convien che sie, e pro’","and loyal and valiant, ","e leale e valoroso,"
"Salute e doni, e rendi:",and you must give and return his greeting graciously.,e devi dare e ricambiare il suo saluto con grazia.
"Se•ttu a•cciò ti rendi,","If you do all of these things, ","Se fai tutte queste cose,"
D’Amor sarai in grazia:,"you’ll be in Love’s favor, ","sarai in favore dell'Amore,"
E’ sì ti farà grazia.,and he will compensate you well. ,e ti ricompenserà bene.
"E se sè forte, e visto,",And if you’re strong and skillful ,E se sei forte e abile
A chaval sie avisto,be advised when on horseback ,essere avvisati quando si è a cavallo
"Di pungier giente mente,","to use your spurs elegantly, ","per usare elegantemente i tuoi speroni,"
Sì che la giente mente,so that the people ,in modo che le persone
Ti ponghan per diletto.,may look at you with delight. ,può guardarti con gioia.
Non ti truovi di letto,In the morning you must not find yourself ,Al mattino non devi ritrovarti
Matino a qualche canto.,asleep on some street corner. ,addormentato in qualche angolo di strada.
"Se•ttu sai alchun canto,","If you know some songs, ","Se conosci alcune canzoni,"
Non ti pesi il cantare,let the singing of them not weigh on you ,il loro canto non ti pesi
"Quanto pesa un chantare,","as much as a cantare,","quanto un cantare,"
Sì che n’oda la nota,so that your loved one ,in modo che la persona amata
"Quella, che ’l tu’ cor nota.",may hear its melody. ,può sentire la sua melodia.
"Se•ssai giuchar di lancia,","If you know how to handle a lance, ","Se sai maneggiare una lancia,"
"Prendila, e sì•lla lancia,","take it and throw it, ","prendilo e buttalo,"
"E chorri, e sali, e salta:",then run and jump and dance: ,poi corri e salta e balla:
Che troppo giente asalta,all these things make people glad: ,tutte queste cose rallegrano le persone:
"Far chosa, che•llor segia:","by doing what they like to see, ","facendo quello che gli piace vedere,"
Gli mette in alta segia.,you make them feel special. ,li fai sentire speciali.
"Belle robe a podere,",Wear the most lovely clothing you can ,Indossa i vestiti più belli che puoi
"Sechondo il tu’ podere,","within your means, ","nei tuoi mezzi,"
"Vesti, fresche e novelle,","fresh and new garments, ","capi freschi e nuovi,"
Sì che n’odi novelle,"so that your loved one may hear about it, ","affinché il tuo caro ne venga a conoscenza,"
"L’amor, chu’ tu à charo",the one you hold more precious ,quello che tieni più prezioso
Più che ’l Soldano il Charo.,than the Sultan holds Cairo. ,di quanto il Sultano detenga Il Cairo.
"E, s’elle son di lana,","And if they’re made of wool, ","E se sono di lana,"
Sì non ti paia l’ana,it should not be difficult ,non dovrebbe essere difficile
"A devisar li ’ntagli,","to design the decorations, ","disegnare le decorazioni,"
Se•ttu à’ chi gli ’ntagli.,if you have someone to cut them out. ,se hai qualcuno che li tagli.
"Nove scharpette, e chalze",You must always wear ,Devi sempre indossare
Convien che tuttor chalze;,brand new shoes and pants.,scarpe e pantaloni nuovi di zecca.
Della persona conto,"Keep your appearance elegant, ","Mantieni il tuo aspetto elegante,"
Ti tieni; e nul mal conto,and let no evil things ,e non lasciare cose cattive
"Di tua bocha non l’oda,","be heard from your mouth, ","essere ascoltato dalla tua bocca,"
Ma ciaschun pregia e loda.,but esteem and give praise to everyone. ,ma stima e loda tutti.
"Servi donne, ed onora,","Serve and honor women, ","Servire e onorare le donne,"
Ché via troppo d’onor’ à,for whoever sets his mind to do it ,per chi si mette in testa di farlo
Chi vi mette sua ’ntenta.,will receive much honor. ,riceverà molto onore.
S’alchuno il Diavol tenta,And if the devil tempts someone ,E se il diavolo tenta qualcuno
"Di lor parlare a taccia,","to speak badly about women, ","parlare male delle donne,"
Sì lor dì che si taccia.,tell him to be quiet. ,digli di stare zitto.
"Sie largo, e d’altra parte","Be generous, but, on the other hand, ","Sii generoso, ma, d'altra parte,"
Non far del tu’ cuor parte;,don’t divide your heart; ,non dividere il tuo cuore;
"Tutto ’n quel luogo il metti,","put it all in that place, ","metti tutto in quel posto,"
Là dove tu l’ametti:,where you have placed it: ,dove l'hai messo:
Ch’egli è d’Amor partito,for whoever has divided his heart ,per chi ha diviso il suo cuore
"Chi ’l su’ cuor à partito,","is separated from Love, ","è separato dall'Amore,"
Ch’e’ non tien leal fino,for he does not consider that one to be completely loyal ,poiché non lo considera completamente leale
"Chi va come l’alfino,","who moves like a bishop in chess,","che si muove come un alfiere negli scacchi,"
"Ma sol con que’ s’acorda,",but he gets along only with the one ,ma va d'accordo solo con quello
Che ’l su’ camin v’a corda.,who goes straight along his path. ,chi va dritto per la sua strada.
"Mi’ Detto ancor non fino,","I am not yet finished with my detto, ","Non ho ancora finito con il mio detto,"
Ché d’un Amico fino,for you must remember ,perché devi ricordare
"Chieder convien ti menbri,",to look for a perfect friend ,per cercare un amico perfetto
Che metta cuor e menbri,who will put heart and body ,chi metterà cuore e corpo
"Per te, se•tti bisognia,","to your service, if you need it, ","al tuo servizio, se ne hai bisogno,"
E ’n ognie tua bisognia,and who will be faithful and just toward you ,e chi sarà fedele e giusto verso di te
Ti sia fedele e giusto.,in your every need. ,in ogni tua esigenza
"Ma, fé che do a san Giusto,","But, by the faith I owe to San Giusto, ","Ma, per la fede che devo a San Giusto,"
Seminati son chiari,true friends are ,i veri amici lo sono
I buon’ amici chiari.,truly hard to find. ,veramente difficile da trovare.
"Ma, se ’l truovi perfetto,","However, if you find a perfect friend, ","Tuttavia, se trovi un amico perfetto,"
Piu ricco che ’l Perfetto,with his friendship you will be ,con la sua amicizia sarai
Sarai di sua conpangna;,better off than the Prefect.,meglio del Prefetto.
E s’ài bella conpangna,"And if he has a beautiful female companion, ","E se ha una bella compagna,"
"La tua fia più sicura,","may yours be more trustworthy,","possa il tuo essere più degno di fiducia,"
Che Veno non si cura,because Venus gives no guarantees ,perché Venere non dà garanzie
"Che non faccia far tratto,","that she will not have another arrow released, ","che non avrà scoccata un'altra freccia,"
Di che l’amor è tratto.,with which love is engendered.,con cui nasce l'amore.
"Di lor più il fatto isveglia,","With them she arouses carnal passion,","Con loro suscita la passione carnale,"
"Né ma’ per suon di sveglia,",more than through the chimes of dawn ,più che attraverso i rintocchi dell'alba
"Né per servir, ch’e’ faccia,",or through the service that he might give. ,o attraverso il servizio che potrebbe dare.
No ’l guarda dritto in faccia,She does not look him directly in the face....,Lei non lo guarda direttamente in faccia...
